Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,1,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672
S2_Transfer,CORES,NETFLOW,M2_XGBoost,1,0.540440438464786,0.5572412223021461,0.8046640092958434,0.6584774706481465
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,1,0.5505967008754951,0.550588458435309,0.9999965026924896,0.7101662232783374
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,2,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672
S2_Transfer,CORES,NETFLOW,M2_XGBoost,2,0.540440438464786,0.5572412223021461,0.8046640092958434,0.6584774706481465
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,2,0.5505779268573883,0.5505779268573883,1.0,0.7101583446028594
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,1,0.8103295834150513,0.8161890762548103,0.9866353080228082,0.8933548577203071
S2_Transfer,NETFLOW,KDD,M2_XGBoost,1,0.09792977503705443,0.1869389960106383,0.03592534619623377,0.060268485148912795
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,1,0.7307067829687907,0.9931185060708623,0.6701951796067658,0.8003099370589357
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,2,0.8103295834150513,0.8161890762548103,0.9866353080228082,0.8933548577203071
S2_Transfer,NETFLOW,KDD,M2_XGBoost,2,0.09792977503705443,0.1869389960106383,0.03592534619623377,0.060268485148912795
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,2,0.7284722646441328,0.988515760661624,0.6705665319682473,0.7990749926841628
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,1,0.5348154345783089,0.5348057502178488,1.0,0.6969035008396848
S2_Transfer,NETFLOW,CORES,M2_XGBoost,1,0.5376734328097801,0.5375509055119728,0.969903961829415,0.6917258542679521
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,1,0.6145162121758854,0.8303337617391228,0.35089244503432054,0.4933142224249137
S2_Transfer,NETFLOW,CORES,M1_LogisticRegression,2,0.5348154345783089,0.5348057502178488,1.0,0.6969035008396848
S2_Transfer,NETFLOW,CORES,M2_XGBoost,2,0.5376734328097801,0.5375509055119728,0.969903961829415,0.6917258542679521
S2_Transfer,NETFLOW,CORES,M3_IsolationForest,2,0.6144160880616368,0.8298995283266996,0.35093507923473466,0.4932796767053545
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,1,0.6142578344784569,0.775743049302711,0.732758069926049,0.7536381277015164
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,1,0.14202534168839562,0.31122812665271676,0.0540457442220767,0.09209832440248363
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,1,0.7424034414797334,0.9925958490478725,0.6851890303311026,0.8107306194957856
S3_Combined,CORES+NETFLOW,KDD,M1_LogisticRegression,2,0.6142578344784569,0.775743049302711,0.732758069926049,0.7536381277015164
S3_Combined,CORES+NETFLOW,KDD,M2_XGBoost,2,0.14202534168839562,0.31122812665271676,0.0540457442220767,0.09209832440248363
S3_Combined,CORES+NETFLOW,KDD,M3_IsolationForest,2,0.7303081063180604,0.9915533361665958,0.6707701768116405,0.8002105503844211
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,1,0.5316015496437168,0.533453073195486,0.9898882798583062,0.6932903698202958
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,1,0.4656703160749761,0.5002567519185226,0.8469395131915777,0.628991069695472
S3_Combined,KDD+NETFLOW,CORES,M1_LogisticRegression,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484
S3_Combined,KDD+NETFLOW,CORES,M2_XGBoost,2,0.5316015496437168,0.533453073195486,0.9898882798583062,0.6932903698202958
S3_Combined,KDD+NETFLOW,CORES,M3_IsolationForest,2,0.48480393517508835,0.5109054442272304,0.858428503372736,0.6405680610221585
