Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_2_Fold_2,0.5049662091743331,0.5367413015484435,0.7368853154177927,0.621087496163354
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_2_Fold_3,0.5085549349432134,0.5614763656382153,0.49045978227512094,0.5235708965602208
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_2_Fold_3,0.449468767495339,0.5001577374273514,0.13445835887096422,0.2119403807856892
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_2_Fold_3,0.5542971079828569,0.5861922173366387,0.6477319523631744,0.6154274933895344
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_2_Fold_4,0.5085732275762406,0.5614982147665383,0.49045628496761057,0.5235784028680687
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_2_Fold_4,0.451605154478879,0.5072227867374665,0.13922431468073518,0.2184795777382323
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_2_Fold_4,0.46688720521782917,0.5195849487231807,0.42078205041893374,0.4649929661292068
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,Rep_2_Fold_5,0.5084721367095115,0.5614344367796289,0.49007070681459114,0.5233309089143614
S2_Transfer,KDD,NETFLOW,M2_XGBoost,Rep_2_Fold_5,0.45323223604813656,0.5132811372613506,0.1337256729475395,0.21217354874330313
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,Rep_2_Fold_5,0.5340471632217948,0.5638214372067053,0.6789305583364008,0.6160450428365499
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_1_Fold_1,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_1_Fold_1,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_1_Fold_1,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_1_Fold_2,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_1_Fold_2,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_1_Fold_2,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_1_Fold_3,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_1_Fold_3,0.08389249877021114,0.2682386134623136,0.07972096663418997,0.12291221611372073
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_1_Fold_3,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_1_Fold_4,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_1_Fold_4,0.08388928363593105,0.26824123708570125,0.07972495967033494,0.12291723740954046
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_1_Fold_4,0.8051017750756361,0.8051690819702704,0.9998961810602309,0.8920292320269878
S2_Transfer,CORES,KDD,M1_LogisticRegression,Rep_1_Fold_5,0.08450658941770703,0.2703024784756906,0.0806074206583718,0.1241822225092966
S2_Transfer,CORES,KDD,M2_XGBoost,Rep_1_Fold_5,0.08388606850165096,0.26823140584694755,0.07972096663418997,0.1229114594235197
S2_Transfer,CORES,KDD,M3_IsolationForest,Rep_1_Fold_5,0.8051017750756361,0.8051690819702704,0.9998961810602309,0.8920292320269878
