Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,2,0.5505716688513527,0.5505756986706796,0.9999781418280601,0.7101509792337193,
S2_Transfer,CORES,KDD,M1_LogisticRegression,1,0.08454517102906803,0.27041970680768457,0.08065533709211135,0.12425145556714062,0.39999999999999997
S2_Transfer,CORES,KDD,M2_XGBoost,1,0.08388928363593105,0.26824123708570125,0.07972495967033494,0.12291723740954046,0.05
S2_Transfer,CORES,KDD,M3_IsolationForest,1,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295,
S2_Transfer,CORES,KDD,M1_LogisticRegression,2,0.08454517102906803,0.27041970680768457,0.08065533709211135,0.12425145556714062,0.39999999999999997
S2_Transfer,CORES,KDD,M2_XGBoost,2,0.08388928363593105,0.26824123708570125,0.07972495967033494,0.12291723740954046,0.05
S2_Transfer,CORES,KDD,M3_IsolationForest,2,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295,
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,1,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672,0.39999999999999997
S2_Transfer,CORES,NETFLOW,M2_XGBoost,1,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672,0.05
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,1,0.5505779268573883,0.5505779268573883,1.0,0.7101583446028594,
S2_Transfer,CORES,NETFLOW,M1_LogisticRegression,2,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672,0.39999999999999997
S2_Transfer,CORES,NETFLOW,M2_XGBoost,2,0.5404409198498656,0.5572414903852267,0.8046648836227209,0.6584779505672,0.05
S2_Transfer,CORES,NETFLOW,M3_IsolationForest,2,0.5505779268573883,0.5505779268573883,1.0,0.7101583446028594,
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,1,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295,0.05
S2_Transfer,NETFLOW,KDD,M2_XGBoost,1,0.6480649714335319,0.7865767882843692,0.7725247168937374,0.7794874274271855,0.39999999999999997
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,1,0.8060020126740594,0.8228626360001766,0.9672930409366065,0.8892514899170199,
S2_Transfer,NETFLOW,KDD,M1_LogisticRegression,2,0.8051853685669182,0.8051853685669182,1.0,0.8920805393034295,0.05
S2_Transfer,NETFLOW,KDD,M2_XGBoost,2,0.6621311839088959,0.8008386698844656,0.7724967656407226,0.7864124436748108,0.39999999999999997
S2_Transfer,NETFLOW,KDD,M3_IsolationForest,2,0.8057865986772937,0.8237904077751954,0.9652685716111102,0.8889354676198146,
